Address,Authority,Cert #,City,Complaints,DBA,Name,State,Telephone
87 POND STREET,TOWER,14915,SEEKONK,3430,,NORM'S AUTO BODY,MA,5082225252
1849 FALL RIVER AVENUE,TOWER,30375,SEEKONK,37486,,OCEAN STATE TOWING,MA,7816429000
32 INDUSTRIAL COURT,TOWER,30884,SEEKONK,48724,A & N AUTO BODY,SEEKONK AUTO BODY,MA,4014319200
303 NORTH MAIN STREET,TOWER,17872,SHARON,3965,,"ANNEX AUTO, INC.",MA,8008526677
1924 NO. MAIN STREET,TOWER,25350,SHEFFIELD,6634,,BACHETTI'S AUTO BODY,MA,4137392900
ROUTE 7,TOWER,27831,SHEFFIELD,21719,,WATSON AUTOMOTIVE,MA,4137392900
280 GREAT ROAD,TOWER,28075,SHIRLEY,23950,"MOHAWK VILLAGE MOTORS, INC.","MOHAWK VILLAGE MOTORS, INC.",MA,9783454131
200 AYER ROAD,TOWER,31652,SHIRLEY,52535,DAVID JOHN WARILA SR,WARILA'S AUTO REPAIR & SALES,MA,9784332777
632 Lake Street,TOWER,8890,SHREWSBURY,2758,,LOVEY'S,MA,5085647200
161 PRATT COR. ROAD,TOWER,29176,SHUTESBURY,31639,,CLARK AUTO WRECKING,MA,
4095 COUNTY STREET,TOWER,30106,SOMERSET,36987,,DIAMOND SALVAGE & SERVICE,MA,7813228766
1350 G.A.R. HIGHWAY,TOWER,21555,SOMERSET,4967,,MATHIEU AUTO SALES INC,MA,5086755557
1214 G A R HIGHWAY,TOWER,26331,SOMERSET,7626,,SOMERSET AUTO SERVICE,MA,5086796486
161 LINWOOD STREET,TOWER,25318,SOMERVILLE,6614,,"PAT'S AUTO BODY, INC.",MA,5083666161
8 FISK AVENUE,TOWER,31432,SOMERVILLE,52191,ERICA SUTHERLAND,S & S TOWING & RECOVERY,MA,6172980655
1 ELLERY STREET,TOWER,29725,SOUTH BOSTON,35523,,D & D TOWING LLC,MA,5085647200
6 DEVINE WAY,TOWER,8639,SOUTH BOSTON,7211,,PREBLE ST. GARAGE,MA,8009228276
254 OLD LYMAN ROAD,TOWER,31126,SOUTH HADLEY,51610,,DM TOWING LLC,MA,8882408803
63 BRIDGE STREET,TOWER,16534,SOUTH HADLEY,3713,,J J'S TOWING,MA,4135260751
650 NEW LUDLOW ROAD,TOWER,25488,SOUTH HADLEY,6732,HAMPSHIRE TOWING,PLEASANT STREET AUTOBODY & REP,MA,4135345373
300 Turnpike Road,TOWER,30973,SOUTHBOROUGH,48839,,"TED'S OF FAYVILLE, INC.",MA,5088528500
475 EAST MAIN STREET,TOWER,10137,SOUTHBRIDGE,2910,,DAVE'S AUTO SERVICE,MA,5085647200
176 WORCESTER STREET,TOWER,30895,SOUTHBRIDGE,48742,,RT. 169 GETTY CAR CARE,MA,8003339234
495 DRESSER HILL,TOWER,21661,SOUTHBRIDGE,4997,,SID'S AUTO BODY,MA,5087650651
529 COLLEGE HIGHWAY,TOWER,11283,SOUTHWICK,3011,SAME,"PRIFTI MOTORS, INC.",MA,
324 MAIN ST,TOWER,31906,SPENCER,52894,,AUDETTE'S TOWING&RECOVERY INC,MA,5088853794
15 VALLEY STREET,TOWER,30719,SPENCER,38047,,DURGIN'S VALLEY GARAGE,MA,5083476850
16 PEARL STREET,TOWER,30953,SPENCER,48815,,TRIPLE D TOWING,MA,5088856545
321 ALLEN STREET,TOWER,26359,SPRINGFIELD,7731,,BAILEY MOTORS,MA,8772255276
350 PASCO ROAD,TOWER,31647,SPRINGFIELD,35764,,CJ'S TOWING UNLIMITED INC,MA,4017664200
462 CENTRAL STREET,TOWER,29622,SPRINGFIELD,35165,,KEVIN'S TOWING & AUTO REPAIR,MA,4135945984
356 WALNUT STREET,TOWER,31249,SPRINGFIELD,51938,RONALD MASCARO,MASCARO'S SVC STATION & TOWING,MA,8772255276
"141 Greenland ROAD, Suite 3A",TOWER,31405,STERLING,52150,,FIVE STAR TOWING INC,MA,5085647200
29 LEGATE HILL ROAD,TOWER,31412,STERLING,52174,,"MATTHEWS TRUCK SERVICE, INC.",MA,5087547255
30R Pine STREET,TOWER,31732,STONEHAM,52659,,D & C TOWING & RECOVERY INC,MA,9185318053
11 EMERSON STREET,TOWER,25529,STONEHAM,6770,,KEARNEY TOWING,MA,7819333100
16 GOULD STREET,TOWER,28975,STONEHAM,30320,SAME,"STONEHAM TOWING, INC.",MA,5087504595
1264 WASHINGTON STREET,TOWER,23726,STOUGHTON,5768,,C & J AUTO BODY,MA,7814312500
32 CUSHING STREET,TOWER,24586,STOUGHTON,6180,,"COSTA AUTOMOTIVE REPAIR, A.J.",MA,7813440098
203 ISLAND STREET,TOWER,31141,STOUGHTON,51807,,ISLAND STREET TOWING INC,MA,5085863400
428 WILLOW STREET,TOWER,21821,STOUGHTON,5057,,"J. B.'S TOWING, INC.",MA,7816413002
614 PARK ST # 1,TOWER,31674,STOUGHTON,52572,RICHARD C LOONIE,RICK'S AUTOMOTIVE REPAIR,MA,7814312500
32 CUSHING STREET,TOWER,22741,STOUGHTON,5383,,SHERM'S INC.,MA,7813440098
233 CANTON STREET,TOWER,28130,STOUGHTON,23741,"TOM'S AUTO TRANSPORT, INC.","TOM'S AUTO TRANSPORT, INC.",MA,7813448578
227 MAIN STREET,TOWER,31513,STURBRIDGE,52309,DND INC,STURBRIDGE AUTO BODY,MA,5083666161
241 MAIN STREET,TOWER,16570,STURBRIDGE,3716,,"STURBRIDGE SERVICE CENTER, INC",MA,8004434513
34 STATION ROAD,TOWER,21559,SUDBURY,4969,,"MOSHER AUTO BODY, INC.",MA,8004434513
40 STATION ROAD,TOWER,22499,SUDBURY,5282,,STATION RD AUTOBODY & GARA INC,MA,5082794454
2555 GAR HIGHWAY,TOWER,31501,SWANSEA,52279,,GASKELL'S TOWING INC,MA,5086735893
1475 GAR HIGHWAY,TOWER,5845,SWANSEA,3584,,PICCERELLI'S TOWING,MA,5086752191
774 MAIN STREET,TOWER,22751,TEATICKET,5387,,RMS TOWING,MA,5087711632
108 TROTTING PARK ROAD,TOWER,20242,TEATICKET,4534,,TEATICKET AUTO BODY,MA,5085482500
1875 Rear MAIN STREET,TOWER,22004,TEWKSBURY,5120,,"M & S SERVICE, INC.",MA,7813564141
11 KITTREDGE AVENUE,TOWER,19962,TEWKSBURY,4444,,"PENNEY'S AUTO BODY, INC.",MA,9788513323
107 IPSWICH ROAD,TOWER,31255,TOPSFIELD,51942,,COUNTRY MOTORS INC,MA,9783528000
98 MAIN STREET,TOWER,19232,TOWNSEND,4255,,"HARBOR AUTO BODY, INC.",MA,9787720070
59 MAIN STREET,TOWER,30832,UPTON,48666,,"HIWAY RECOVERY, INC.",MA,5087547255
136 MILFORD STREET,TOWER,27803,UPTON,21026,,MIKE'S AUTO BODY REPAIR,MA,5087547255
141 MILFORD STREET,TOWER,29592,UPTON,34607,,TOGI'S TOWING SERVICE,MA,5087547255
1025 QUAKER HWY,TOWER,31914,UXBRIDGE,52914,,HARSHAW PAVING & RECLAMATION C,MA,7816429000
120 SOUTH MAIN STREET,TOWER,30401,UXBRIDGE,37533,,"LAV'S AUTO BODY & SALES, INC.",MA,5082785577
187 NORTH MAIN STREET,TOWER,31084,UXBRIDGE,50198,RUSSELL L ROSBOROUGH JR,UXBRIDGE AUTO INC,MA,5087915566
67 RAWSON ROAD,TOWER,30859,UXBRIDGE,48689,SYDNEY VANDERZICHT,VANDERZICHT TOWING,MA,5082346333
19 NEW SALEM STREET,TOWER,17058,WAKEFIELD,3814,"HOWE'S TOWING, INC.",WAKEFIELD TOWING,MA,7812450888
51 HOLLOW ROAD,TOWER,30274,WALES,37219,,PEARSON'S TOWING & AUTO REPAIR,MA,4132457600
"440 WEST STREET, PO BOX 224",TOWER,31213,WALPOLE,51939,"ASSURED COLLISION, INC.",ACI TOWING,MA,7813448578
1652 Main Street,TOWER,30365,WALPOLE,37470,,BALABANIS AUTO REPAIR,MA,5086681700
1675 MAIN STREET,TOWER,21703,WALPOLE,5012,,"CHRIS SERVICE CENTER, INC.",MA,6179247474
53 FELTON STREET,TOWER,17031,WALTHAM,3806,,"PILGRIM AUTO BODY, INC.",MA,7818900999
205 WILLOW STREET,TOWER,28393,WALTHAM,27804,,PRO TECH TOWING & RECOVERY,MA,5087547255
144 PROSPECT STEET,TOWER,12666,WALTHAM,3129,,RAMSAY'S TOWING,MA,7812733200
281 CRESCENT ST.,TOWER,17033,WALTHAM,3808,,"WALTHAM AUTO TOW, INC.",MA,5083781166
55 East Street,TOWER,31495,WARE,52273,GARY J BUELOW JR,ALL PARTS RACING,MA,6179673327
29 1/2 MAPLE STREET ANNEX,TOWER,18209,WARE,4028,,"BALICKI AUTO BODY, INC.",MA,5085647200
105 WEST STREET,TOWER,30655,WARE,37944,,GERVAIS AUTO,MA,4139675905
2688 CRANBERRY HIGHWAY,TOWER,29561,WAREHAM,34237,,MARC'S AUTO SERVICE,MA,7813448578
58 SANDWICH ROAD,TOWER,31573,WAREHAM,52390,,ROUTE 6 AUTO SALES LP,MA,5089949688
339 MARKET STREET BLDG #9,TOWER,31568,WARREN,52383,,AMERICAN TOWING & STORAGE LLC,RI,4014319200
516 CHILD STREET,TOWER,31599,WARREN,52452,WILLIAM F CARDOZA,BILL'S TOWING LLC,RI,4013988020
386 OLD WEST WARREN ROAD,TOWER,31541,WARREN,52348,,FIJOL'S JUNK YARD INC,MA,4137880971
764 MAIN STREET,TOWER,15003,WARREN,3446,,"SPENCER, INC., EDW. H.",MA,8004434513
483 PLEASANT STREET,TOWER,23413,WATERTOWN,5630,"PENTA AUTO BODY, INC.",PERFECTION TOWING,MA,8008408842
70 NORTH BEACON ST,TOWER,31825,WATERTOWN,52786,DAN'S ROAD SERVICE INC,WATERTOWN TOWING,MA,
292 R BOSTON POST ROAD,TOWER,31335,WAYLAND,52056,,STATE ROAD AUTO BODY,MA,5082794454
467 WASHINGTON ST,TOWER,31819,WELLESLEY,52785,,BLUE-LINE TOWING INC,MA,5086735893
26 WEST MAIN STREET,TOWER,27369,WELLFLEET,18930,,ROSE'S AUTO SERVICE,MA,5083496311
233 MAIN STREET,TOWER,30120,WENHAM,36959,,FALLON AUTO SERVICE INC,MA,9789272600
11 BRANDYWINE ROAD,TOWER,31152,WEST BOYLSTON,51826,JOSEPH W WELCOME,JOE'S TOWING,MA,5084220535
312 W BOYLSTON STREET,TOWER,31306,WEST BOYLSTON,52012,,KEVIN'S AUTOMOTIVE OF W BOYLST,MA,9786616915
205A W. BOYLSTON STREET,TOWER,21663,WEST BOYLSTON,4998,,WALTER C CRANSTON & SON INC,MA,5087547255
357 S MAIN STREET,TOWER,30727,WEST BRIDGEWATER,38051,,A1 AFFORDABLE INC,MA,5085863400
104 TURNPIKE STREET,TOWER,28768,WEST BRIDGEWATER,28784,,MAY'S TIRES & ACCESSORIES,MA,5082380056
448 WEST CENTER STREET,TOWER,22547,WEST BRIDGEWATER,5304,,RALEIGH AUTO BODY,MA,5086976963
5 CRANE NECK STREET,TOWER,31585,WEST NEWBURY,52426,,CRANE NECK AUTO LLC,MA,7819333100
675 MEMORIAL AVENUE,TOWER,10388,WEST SPRINGFIELD,2941,,CENTRAL CHEVROLET INC,MA,8004736879
1528 RIVERDALE STREET,TOWER,3478,WEST SPRINGFIELD,1793,,RED'S TOWING,MA,4132626952
8 CENTER ROAD,TOWER,23450,WEST STOCKBRIDGE,5643,,WEST CENTER AUTO,MA,4132983741
41 SOUTH STREET,TOWER,30425,WESTBOROUGH,37571,"WESTBORO AUTO BODY, INC.",WESTBORO TOWING CO.,MA,5083666161
247 Elm Street,TOWER,31014,WESTFIELD,48902,,MICHAEL'S TOWING,MA,4135686111
290 LITTLETON ROAD,TOWER,12511,WESTFORD,3117,,BOB'S AUTO SERVICE,MA,9784581275
496 GROTON ROAD,TOWER,31704,WESTFORD,52619,JOSE FERREIRA,Joe's Auto & Towing LLC,MA,8882908803
6 Elliott Road,TOWER,19850,WESTFORD,4408,SULLY'S AUTO REPAIR & TOWING,RALPH R SULLIVAN,MA,
11 MAIN STREET,TOWER,30838,WESTMINSTER,48656,JON K. LUOMA,WESTMINSTER GARAGE,MA,5087547255
626 ADAMSVILLE ROAD,TOWER,19217,WESTPORT,4251,,ADAMSVILLE GARAGE,MA,5086788341
497 SANFORD ROAD,TOWER,15713,WESTPORT,3560,,BEAULIEU'S GARAGE,MA,8882408803
85 FORGE ROAD - REAR,TOWER,28093,WESTPORT,23743,,FERREIRA'S AUTO BODY AND SALES,MA,5086788341
683 AMERICAN LEGION HIGHWAY,TOWER,31317,WESTPORT,52036,,FIVE STAR COLLISION INC,MA,8006660200
867 STATE ROAD,TOWER,30411,WESTPORT,37582,,FOUR SQUARE TOWING INC,MA,5087429211
505 STATE ROAD,TOWER,23819,WESTPORT,5808,,J. B. S. TOWING,MA,5082352231
58 CHARLOTTE WHITE ROAD,TOWER,30361,WESTPORT,37474,DAVID J. ANCTIL,LANTIC SALVAGE,MA,5089949688
221 POND STREET,TOWER,31592,WEYMOUTH,52431,JOSEPH E LEWIS,ALL OVER TOWING,MA,5085647200
11 WATER STREET,TOWER,30366,WEYMOUTH,37469,ALL-MAKE AUTOCARE INC,ALL-MAKE AUTOCARE INC,MA,7638986787
77 PLEASANT STREET,TOWER,27871,WEYMOUTH,21682,"CENTRAL TOWING, INC.","CENTRAL TOWING, INC.",MA,6177883200
1269 WASHINGTON STREET,TOWER,30370,WEYMOUTH,37481,,EXPRESS TOWING,MA,8778351833
1325 R PLEASANT STREET,TOWER,29812,WEYMOUTH,36007,,"MALLOY'S AUTOMOTIVE SERV.,INC.",MA,5083666161
1338 PLEASANT STREET,TOWER,0,WEYMOUTH,48604,,NATIONAL AUTO RECOVERY,MA,7813564141
40 MOORE ROAD,TOWER,23049,WEYMOUTH,5499,,"WEYMOUTH SERVICE CENTER, INC.",MA,7813563533
1125 BEDFORD STREET,TOWER,31208,WHITMAN,51886,,AUTO-TEC LLP,MA,7814833248
741R TEMPLE STREET,TOWER,31917,WHITMAN,52911,,COLUMBIA AUTO BODY INC,MA,7814312500
203 BEDFORD STREET,TOWER,31236,WHITMAN,51919,,DISTINCTIVE AUTO BODY INC,MA,7814475561
845 TEMPLE  ST,TOWER,31808,WHITMAN,52755,JOSEPH FORTIN,MAC ENTERPRISES,MA,5089415711
654 WASHINGTON STREET,TOWER,22602,WHITMAN,5330,,MIKE'S AUTO REPAIR,MA,7812936376
2650 BOSTON ROAD,TOWER,30896,WILBRAHAM,48745,,"LUZI'S AUTO BODY, INC,",MA,4135361491
P.O. BOX 543,TOWER,6332,WILBRAHAM,2505,,O'CONNORS' TOWING,MA,4135439119
260 MAIN STREET,TOWER,3276,WILLIAMSTOWN,1670,,RON'S,MA,4136649366
222 ANDOVER STREET,TOWER,23748,WILMINGTON,5779,SAME,A & S TOWING INC,MA,7817299200
600 MAIN STREET,TOWER,31450,WILMINGTON,52207,,FORREST TOWING INC,MA,7817299200
10 Ranch Road,TOWER,12098,WILMINGTON,3077,,FRED F CAIN INC,MA,8882408803
25 GROVE STREET,TOWER,25354,WINCHENDON,6638,,BROOKS AUTOMOTIVE SERVICE,MA,9782970472
1 BREED AVENUE,TOWER,27502,WOBURN,19865,CRISTOPHER CULLEN,CRIS'S TOWING SERVICE,MA,
89 WINN STREET,TOWER,30367,WOBURN,37468,,MURRAY'S TOWING & EQUIP. SERV.,MA,8008408842
10 REAR GREEN STREET,TOWER,22252,WOBURN,5194,,TOM'S AUTO BODY,MA,8006756695
323 SOUTHWEST CUTOFF,TOWER,8898,WORCESTER,2759,,ADVANCED AUTO BODY,MA,6033584318
245 SOUTH WEST CUTOFF,TOWER,30865,WORCESTER,48713,"AMER. LENDERS SER, CO. OF WORC",BELSITO AUTO,MA,4132626952
550 Franklin Street,TOWER,30457,WORCESTER,37625,,"BOULEVARD GARAGE, INC.",MA,5087564310
7 CANTERBURY STREET,TOWER,28476,WORCESTER,26408,,DAVID'S SERVICE CENTER,MA,5087547255
536 PARK AVENUE,TOWER,22615,WORCESTER,5336,,"EARLY'S ON PARK AVENUE, INC.",MA,5087527504
32 CAMBRIDGE STREET,TOWER,31581,WORCESTER,52415,,LUCKY 13 RECOVERY INC,MA,5087912241
1397 MAIN ST,TOWER,24999,WORCESTER,6407,,"O'CONNOR AUTO SALES, INC.",MA,5087545800
27-33 SHREWSBURY STREET,TOWER,3793,WORCESTER,1884,,PAT'S SERVICE CENTER,MA,5084711113
9 CASCO STREET,TOWER,31800,WORCESTER,52777,PATRIOT SERVICE CENTER AND TOW,PATRIOT SERVICE CENTER AND TOW,MA,5087537233
1359-A GRAFTON STREET,TOWER,27216,WORCESTER,18365,TOWLAND INC,TOWLAND INC,MA,5087555944
45 INDUSTRIAL ROAD,TOWER,31571,WRENTHAM,52389,INCORPORATED,BRUCE'S COMMERCIAL TRUCK SVCS,MA,5082346333
20 INDUSTRIAL RD,TOWER,31785,WRENTHAM,52733,,CROSSROADS TOWING&HAULING LLC,MA,5085283310
